Frame,Joint 2 X,Joint 2 Y
0,51.244213892883906,0.7579265582116381
1,52.265847744427305,3.1647450843757845
2,52.85402103112355,5.712403485599012
3,52.990862405286435,8.323492450537504
4,52.672214011007085,10.918675362266377
5,51.907757818501814,13.419098901238666
6,50.7207214423464,15.748788963498058
7,49.14717238216093,17.836959095382856
8,47.23492212988489,19.620161304100815
9,45.04207344178839,21.044213892883892
10,42.635254915624245,22.065847744427295
11,40.087596514401014,22.654021031123552
12,37.476507549462525,22.790862405286436
13,34.88132463773365,22.472214011007093
14,32.380901098761356,21.70775781850183
15,30.051211036501964,20.520721442346414
16,27.963040904617163,18.947172382160947
17,26.179838695899203,17.034922129884915
18,24.755786107116123,14.842073441788411
19,23.734152255572717,12.435254915624267
20,23.145978968876456,9.887596514401043
21,23.00913759471356,7.27650754946255
22,23.3277859889929,4.681324637733676
23,24.09224218149816,2.1809010987613853
24,25.27927855765357,-0.14878896349801174
25,26.852827617839033,-2.236959095382816
26,28.765077870115064,-4.020161304100781
27,30.957926558211565,-5.444213892883865
28,33.364745084375706,-6.465847744427276
29,35.91240348559893,-7.0540210311235425
30,38.523492450537425,-7.190862405286439
31,41.118675362266295,-6.872214011007103
32,43.61909890123859,-6.107757818501848
33,45.94878896349799,-4.920721442346443
34,48.0369590953828,-3.3471723821609833
35,49.820161304100765,-1.434922129884959
36,51.24421389288385,0.7579265582115404
